country,region,name,latitude,longitude
HK,0,Central District,22.2833,114.15
SG,0,Singapore,1.2931,103.8558
AN,0,Willemstad,12.1,-68.9167
AW,0,Sero Blanco,12.5167,-70.0167
VG,0,Road Town,18.4167,-64.6167
SG,0,Jurong,1.3342,103.7228
AI,0,George Hill,18.2,-63.0667
SG,0,Ayer Rajah,1.305,103.7833
NZ,0,Dunedin,-45.8667,170.5
HK,0,Kowloon,22.3167,114.1833
AI,0,The Valley,18.2167,-63.05
TC,0,Grand Turk,21.4667,-71.1333
NZ,0,Hamilton,-37.7833,175.2833
HK,0,Mid Levels,22.2833,114.15
HK,0,Tsuen Wan,22.3667,114.1
HK,0,North Point,22.3,114.2
AW,0,Oranjestad,12.5167,-70.0333
HK,0,Wan Chai,22.1667,114.25
HK,0,Quarry Bay,22.2833,114.2167
NZ,0,Christchurch,-43.5333,172.6333
NZ,0,Wellington,-41.3,174.7833
NZ,0,Auckland,-36.8667,174.7667
NZ,0,Avondale,-36.8833,174.7
PF,0,Papeete,-17.5333,-149.5667
GP,0,Marigot,18.0667,-63.0833
NZ,0,New Plymouth,-39.0667,174.0833
GI,0,Gibraltar,36.1333,-5.35
HK,0,Chai Wan,22.2667,114.2333
NC,0,Nouméa,-22.2667,166.45
HK,0,Sai Kung,22.3833,114.2667
HK,0,Causeway Bay,22.2833,114.1833
HK,0,Sheung Wan,22.2833,114.15
CK,0,Avarua,-21.2078,-159.775
HK,0,Kwun Tong,22.3167,114.2167
NZ,0,Belfast,-43.45,172.6333
AN,0,Vredenberg,12.0917,-68.85
AN,0,Kralendijk,12.15,-68.2667
NZ,0,Northcote,-36.8153,174.7458
MH,0,Majuro,7.3648,170.8551
HK,0,Kwai Chung,22.35,114.1333
WS,0,Apia,-13.8333,-171.7333
SG,0,Yishun,1.4333,103.8311
NZ,0,Thornton,-37.9167,176.8667
MT,0,Gzira,35.9058,14.4881
NZ,0,Northland,-41.2833,174.75
MT,0,San Gwann,35.9056,14.4761
NP,0,Kathmandu,27.7167,85.3167
NP,0,Bhaktapur,27.6667,85.4167
MT,0,Sliema,35.9125,14.5019
NZ,0,Porangahau,-40.2789,176.6283
NZ,0,Takapuna,-36.7917,174.7758
NZ,0,East Tamaki,-36.95,174.9
HK,0,Fo Tan,22.4,114.2
NZ,0,Collingwood,-40.6667,172.6833
AN,0,Emmastad,12.1333,-68.9167
GF,0,Matoury,4.85,-52.3333
AN,0,Philipsburg,18.0167,-63.0333
MT,0,Birkirkara,35.8972,14.4611
MT,0,Msida,35.8925,14.4828
MC,0,Fontvieille,43.7333,7.4167
SG,0,Sembawang,1.4508,103.8286
MT,0,Attard,35.8897,14.4425
RE,0,Le Port,-20.9167,55.3
RS,0,Beograd,44.8186,20.4681
FK,0,Stanley,-51.7,-57.85
SG,0,Changi,1.3417,103.9636
MT,0,Balzan,35.9003,14.455
SG,0,Jurong Town,1.3342,103.7228
SG,0,Tuas,1.3214,103.6567
SG,0,Alexandra,1.2939,103.8197
NZ,0,Manukau City,-36.9667,174.8
MT,0,Melita,35.8869,14.4025
NZ,0,Petone,-41.2333,174.8833
BN,0,Brunei,4.8833,114.9333
GP,0,Jarry,16.2333,-61.55
MQ,0,La Chapelle,14.6833,-61.0333
PF,0,Taravao,-17.7333,-149.3167
MQ,0,Concorde,14.5167,-61.0333
MT,0,Valletta,35.8997,14.5147
SG,0,Boon Lay,1.3333,103.7
SG,0,Woodlands,1.4444,103.7767
SG,0,Kallang,1.3333,103.8667
SG,0,Serangoon,1.3508,103.8708
SG,0,Bukit Batok,1.3517,103.7628
FO,0,Argir,61.9833,-6.75
FO,0,Fuglefjord,62.25,-6.8
FO,0,Toftir,61.6,-6.95
SG,0,Pasir Panjang,1.2928,103.7708
RS,0,Belgrade,44.8186,20.4681
SG,0,Ang Mo Kio,1.3692,103.8497
MT,0,Naxxar,35.9136,14.4436
FO,0,Thorshavn,62.0167,-6.7667
MT,0,Santa Venera,35.8908,14.4742
MT,0,Zebbug,35.8719,14.4411
MT,0,Floriana,35.8958,14.5083
MT,0,Marsaxlokk,35.8419,14.5431
MT,0,Mosta,35.9092,14.4256
ER,0,Asmara,15.3333,38.9333
MT,0,Lija,35.9006,14.4464
MT,0,Dingli,35.8614,14.3822
MT,0,Kalkara,35.8892,14.5328
MT,0,Isla,35.8875,14.5169
MT,0,Cospicua,35.8856,14.5275
MT,0,Fgura,35.8703,14.5133
MT,0,Vittoriosa,35.8922,14.5183
MT,0,Safi,35.8331,14.4847
MT,0,Qrendi,35.8347,14.4583
MT,0,Mtarfa,35.8933,14.3989
MT,0,Mqabba,35.8461,14.4672
MT,0,Luqa,35.8589,14.4886
MT,0,Kirkop,35.8422,14.4853
MT,0,Gudja,35.8492,14.5031
MT,0,Tarxien,35.8658,14.515
MT,0,Zabbar,35.8761,14.535
MT,0,Zejtun,35.8558,14.5331
MT,0,Mgarr,36.0253,14.295
MT,0,Siggiewi,35.8556,14.4364
MT,0,Kercem,36.0419,14.2267
MT,0,Nadur,36.0378,14.2942
MT,0,Qala,36.0361,14.3094
MT,0,San Lawrenz,36.0556,14.2036
MT,0,Sannat,36.0244,14.2428
MT,0,Victoria,36.0444,14.2397
MT,0,Xewkija,36.0328,14.2581
MT,0,Rabat,35.8822,14.3981
MT,0,Qormi,35.8783,14.4719
MT,0,Paola,35.8731,14.4989
MT,0,Zurrieq,35.8311,14.4742
MT,0,Curmi,35.8783,14.4719
MT,0,Birgu,35.8922,14.5183
YT,0,Mamoudzou,-12.7794,45.2272
IT,0,Roccatagliata,44.4667,16.2
MC,0,Monte-Carlo,43.7333,7.4167
IT,0,Oppido Mamertina,38.2833,18.9833
GF,0,Guadeloupe,4.7333,-53.7833
FO,0,Hvannasund,62.3,-6.5
MT,0,Valetta,35.8997,14.5147
MT,0,Bugibba,35.9514,14.4106
MT,0,Marsa,35.8792,14.4953
ZW,0,Victoria Falls,-17.9333,25.8333
FO,0,Mykines,62.1,-7.6333
MQ,0,Lamentin,14.6,-61
RE,0,Chaudron,-20.8833,55.5
RS,0,Pancevo,43.7111,20.7378
RS,0,Mitrovic,44.9764,19.6122
RS,0,Subotica,43.4372,21.1417
ME,0,Berane,42.8425,19.8733
ME,0,Ulcinj,41.9283,19.2064
ME,0,Podgorica,42.4411,19.2636
ME,0,Budva,42.2864,18.84
ME,0,Kotor,42.4258,18.7719
ME,0,Niksic,42.775,18.9583
ME,0,Golubovci,42.335,19.2311
ME,0,Igalo,42.4589,18.5122
ME,0,Rozaje,42.8439,20.1683
ME,0,Tolosi,42.4547,19.2242
ME,0,Zeljeznica,42.1108,19.0983
ME,0,Tivat,42.4364,18.6961
ME,0,Zabljak,42.3172,19.1586
ME,0,Bijela,42.4533,18.6556
RS,0,Obrenovac,43.0397,22.7206
RS,0,Novi Beograd,44.8056,20.4242
RS,0,Visnjica,43.4125,20.0394
RS,0,Novi Sad,45.2517,19.8369
MT,0,San Giljan,35.9197,14.4844
RS,0,Jelen Do,43.895,20.1178
RS,0,Nova Pazova,44.9447,20.2197
RS,0,Vrbas,45.5714,19.6408
RS,0,Sonta,45.5947,19.0981
RS,0,Sremski Karlovci,45.2025,19.9344
RS,0,Simanovci,44.8725,20.0917
RS,0,Kikinda,45.6411,20.4142
RS,0,Zemun,44.8431,20.4011
RS,0,Odzaci,43.0106,21.3392
HK,0,Tai Wai,22.3833,114.1833
PF,0,Faaa,-17.55,-149.6
HK,0,Happy Valley,22.2667,114.1833
HK,0,Lam Tin,22.35,114.1
NZ,0,Mosgiel,-45.875,170.3472
NZ,0,Kilbirnie,-41.3167,174.8
NZ,0,Palmerston North,-40.35,175.6167
NZ,0,Ward,-41.8333,174.1333
NZ,0,Lower Hutt,-41.2167,174.9167
NZ,0,Silverstream,-41.15,175
NZ,0,Greymouth,-42.4667,171.2
HK,0,Tsim Sha Tsui,22.3,114.1667
NZ,0,Tauranga,-37.6861,176.1667
NZ,0,Papamoa,-37.7333,176.3
NZ,0,Porirua,-41.1333,174.85
NZ,0,Nelson,-41.2833,173.2833
NZ,0,Heretaunga,-41.15,175.0333
SG,0,Tampines,1.3492,103.9497
BN,0,Bandar Seri Begawan,4.8833,114.9333
HK,0,Sha Tin,22.3833,114.1833
HK,0,Fung Shue Wo,22.35,114.1
HK,0,Morrison Hill,22.2833,114.1833
HK,0,Repulse Bay,22.2333,114.2
HK,0,Stanley,22.2167,114.2
HK,0,Mong Kok,22.3167,114.1667
TV,0,Funafuti,-8.5167,179.2167
SG,0,Thomson,1.3492,103.8436
HK,0,Ngau Tau Kok,22.3167,114.2167
SG,0,Kent Ridge,1.2931,103.7844
HK,0,Au Pui Wan,22.4,114.1667
HK,0,Ho Man Tin,22.3167,114.1833
KI,0,Tarawa,-0.8833,169.5333
HK,0,Lai Chi Kok,22.3333,114.1333
NZ,0,Paradise,-44.7333,168.3667
HK,0,Tin Shui Wai,22.4667,114
HK,0,Tai Po,22.3,113.95
SG,0,Bedok,1.3225,103.9614
HK,0,Cheung Kong,22.45,114.0667
HK,0,To Kwa Wan,22.3167,114.1833
HK,0,Yuen Long,22.4333,114.0333
HK,0,Tung Hing,22.2833,113.9333
HK,0,Tai O,22.25,113.8667
SG,0,City West,1.3167,103.8167
SG,0,Tai Seng,1.3361,103.9036
NZ,0,Masterton,-40.9597,175.6575
HK,0,Ho Tin,22.4,113.9667
SG,0,Holland,1.3119,103.7933
HK,0,Tuen Mun,22.4,113.9833
SG,0,Simei,1.3411,103.9561
SG,0,Toa Payoh,1.3361,103.85
SG,0,Clementi,1.3158,103.7647
SG,0,Choa Chu Kang,1.3825,103.7497
SG,0,Pasir Ris,1.3722,103.9478
SG,0,Jurong East,1.3414,103.7392
SG,0,Bukit Panjang,1.3797,103.7647
NZ,0,Albany,-36.7167,174.7
NZ,0,Clive,-39.5833,176.9167
NZ,0,Invercargill,-46.4,168.35
NZ,0,Whangamata,-37.2,175.8667
HK,0,Sheung Shui,22.5167,114.1167
NZ,0,Silverdale,-36.6167,174.6667
NZ,0,Richmond,-45.0167,171.05
NZ,0,Wanganui,-39.9333,175.05
NZ,0,Paraparaumu,-40.9167,175.0167
NZ,0,Gisborne,-38.6533,178.0042
NZ,0,Oxford,-43.3,172.1833
NZ,0,Lincoln,-43.65,172.4833
NZ,0,Napier,-39.4833,176.9167
NZ,0,Ngahere,-42.4,171.45
NZ,0,Timaru,-44.4,171.25
NZ,0,Hastings,-39.65,176.8333
NZ,0,Taradale,-39.5333,176.85
NZ,0,Waitakere,-36.85,174.55
NZ,0,Port Motueka,-41.1333,173.0167
NZ,0,Piopio,-38.4667,175.0167
NZ,0,Mount Maunganui,-37.6417,176.1861
NZ,0,Thames,-37.1333,175.5333
NZ,0,Whakatane,-37.9833,177
NZ,0,Tasman,-41.2,173.05
NZ,0,Queenstown,-45.01,168.4
NZ,0,Piako,-37.65,175.55
NZ,0,Taupo,-38.6833,176.0833
NZ,0,Levin,-40.6333,175.275
NZ,0,Gordon,-37.7,175.8333
NZ,0,Havelock,-41.2833,173.7667
NZ,0,Penrose,-36.9167,174.8167
NZ,0,Kaikoura,-42.4167,173.6833
NZ,0,Elgin,-43.95,171.8167
NZ,0,Kelburn,-41.2833,174.7667
NZ,0,Fairfax,-46.2,168.05
NZ,0,Newton,-36.85,174.75
NP,0,Jawalakhel,27.6667,85.3167
NP,0,Pokhara,28.2333,83.9833
NP,0,Biratnagar,26.4833,87.2833
NP,0,Bhairawa,27.5,83.45
NP,0,Palpa,27.8667,83.4833
NP,0,Birgunj,27,84.8667
NP,0,Janakpur,26.7,85.9167
NP,0,Bhadrapur,26.5333,88.0833
HK,0,Kowloon Tong,22.3333,114.1833
HK,0,Tsz Wan Shan,22.35,114.2
HK,0,Ma On Shan,22.4,114.2333
HK,0,Aberdeen,22.25,114.15
HK,0,Lam Tei,22.4167,113.9833
HK,0,Tung Chung,22.2833,113.95
HK,0,Kat O,22.55,114.2833
HK,0,Yuen Long Town,22.4333,114.0333
HK,0,Cheung Chau,22.2167,114.0167
HK,0,Kennedy Town,22.2833,114.1167
HK,0,Wong Tai Sin,22.35,114.1833
HK,0,Shek Tong Tsui,22.2833,114.1333
HK,0,Shau Kei Wan,22.2833,114.2167
HK,0,Chung Hau,22.2333,114
HK,0,Wong Wan,22.5167,114.3
HK,0,Ping Yeung,22.5333,114.1667
HK,0,Lo So Shing,22.2,114.1167
HK,0,Sha Tau Kok,22.55,114.2167
HK,0,Tai Hang,22.2833,114.1833
HK,0,Chung Mei,22.5,114.2333
HK,0,Tseung Kwan O,22.3333,114.25
HK,0,San Tong,22.45,114.1333
HK,0,San Po Kong,22.3333,114.2
AU,0,Longridge,-29.05,167.9333
HK,0,Wong Chuk Hang,22.3833,114.35
SG,0,Tanjong Pagar,1.2833,103.8333
HK,0,Shan Mei,22.4,114.1833
HK,0,Tai Tung,22.4333,114.2667
HK,0,Chung Wai,22.4667,114.35
HK,0,Hung Hom,22.3,114.1833
HK,0,Chai Wan Kok,22.3833,114.1
HK,0,Fanling,22.5,114.1333
HK,0,Fa Yuen,22.2833,114.2167
HK,0,Hang Mei,22.25,113.8667
SG,0,Paya Lebar,1.3539,103.8906
HK,0,Yau Tam Mei,22.4833,114.05
HK,0,Wah Fu,22.25,114.1333
HK,0,Victoria,22.2875,114.1442
HK,0,Peng Chau,22.2833,114.0333
HK,0,Kam Tsin,22.5,114.1167
HK,0,Pak Tin,22.3333,114.1667
HK,0,Yuen Kong,22.4333,114.0667
HK,0,Mui Wo,22.2667,113.9833
HK,0,Epworth Village,22.2667,114.2333
NZ,0,Tokoroa,-38.2333,175.8667
HK,0,San Tsuen,22.3833,114.1167
HK,0,Tai Pak,22.3,114.0167
HK,0,Shek Wai Kok,22.3833,114.1167
HK,0,Cheung Sha Wan,22.2333,114
HK,0,Kowloon City,22.3333,114.1833
HK,0,Ma Tau Wai,22.3167,114.1833
HK,0,Hung Shui,22.2833,114
SG,0,King Albert Park,1.3344,103.7797
SG,0,Bukit Timah,1.3403,103.7758
SG,0,Jurong West,1.3503,103.7228
SG,0,Tanglin,1.3167,103.8167
SG,0,Ghim Moh,1.3111,103.7878
HK,0,Wan Tau Tong,22.45,114.1667
HK,0,Lin Fa Tei,22.4333,114.0833
HK,0,Sham Shui Po,22.3333,114.15
SG,0,Holland Village,1.3119,103.7933
