country,code,name,latitude,longitude,cities
AD,7,Andorra la Vella,0,0,1
AD,2,Canillo,0,0,1
AD,3,Encamp,0,0,1
AD,8,Escaldes-Engordany,0,0,1
AD,4,La Massana,0,0,1
AD,5,Ordino,0,0,1
AD,6,Sant Julia de Loria,42.465031,1.491064,0
AE,1,Abu Dhabi,0,0,5
AE,2,Ajman,25.41222,55.434738,0
AE,3,Dubai,0,0,2
AE,4,Fujairah,0,0,1
AE,5,Ras Al Khaimah,0,0,4
AE,6,Sharjah,0,0,2
AE,7,Umm Al Quwain,0,0,1
AF,1,Badakhshan,36.962134,72.48409,0
AF,2,Badghis,35.267697,63.88498,0
AF,3,Baghlan,36.1276,68.6891,0
AF,30,Balkh,36.7597,66.8897,0
AF,5,Bamian,0,0,1
AF,6,Farah,32.3754,62.1123,0
AF,7,Faryab,36.186405,64.849624,0
AF,8,Ghazni,33.5533,68.426,0
AF,9,Ghowr,34.154854,64.905668,0
AF,10,Helmand,31.791489,64.565208,0
AF,11,Herat,0,0,1
AF,31,Jowzjan,36.701094,65.9608,0
AF,13,Kabol,0,0,1
AF,23,Kandahar,0,0,1
AF,14,Kapisa,34.871027,69.729433,0
AF,37,Khowst,33.3394,69.9148,0
AF,15,Konar,35.025774,71.170784,0
AF,24,Kondoz,0,0,1
AF,16,Laghman,34.796748,70.311782,0
AF,17,Lowgar,33.943638,69.204366,0
AF,18,Nangarhar,0,0,1
AF,19,Nimruz,30.801132,62.212044,0
AF,38,Nurestan,34.93742,70.375687,0
AF,20,Oruzgan,32.93021,66.636429,0
AF,21,Paktia,33.682466,69.481928,0
AF,29,Paktika,32.493147,68.764845,0
AF,22,Parvan,0,0,2
AF,32,Samangan,35.935035,67.898998,0
AF,33,Sar-e Pol,0,0,1
AF,26,Takhar,0,0,1
AF,27,Vardak,34.19443,68.270509,0
AF,28,Zabol,32.248099,67.183598,0
AG,1,Barbuda,17.637099,-61.809593,0
AG,3,Saint George,0,0,1
AG,4,Saint John,0,0,5
AG,5,Saint Mary,0,0,2
AG,6,Saint Paul,0,0,1
AG,7,Saint Peter,0,0,1
AG,8,Saint Philip,0,0,0
AL,40,Berat,40.707495,19.972282,0
AL,41,Diber,0,0,1
AL,42,Durres,41.330831,19.442902,0
AL,43,Elbasan,0,0,1
AL,44,Fier,0,0,1
AL,45,Gjirokaster,40.075965,20.150654,0
AL,46,Korce,40.623001,20.785239,0
AL,47,Kukes,42.065326,20.440384,0
AL,48,Lezhe,0,0,1
AL,49,Shkoder,42.066251,19.522997,0
AL,50,Tirane,0,0,1
AL,51,Vlore,40.473662,19.488411,0
AM,1,Aragatsotn,0,0,0
AM,2,Ararat,0,0,3
AM,3,Armavir,0,0,2
AM,4,Geghark'unik',0,0,0
AM,5,Kotayk',0,0,6
AM,6,Lorri,0,0,3
AM,7,Shirak,0,0,1
AM,8,Syunik',0,0,1
AM,9,Tavush,0,0,0
AM,10,Vayots' Dzor,0,0,0
AM,11,Yerevan,0,0,1
AO,19,Bengo,-9.016666,13.920003,0
AO,1,Benguela,0,0,1
AO,2,Bie,-12.4,17.4319,0
AO,3,Cabinda,-5.5616,12.185,0
AO,4,Cuando Cubango,-15.95284,19.759604,0
AO,5,Cuanza Norte,-8.85,14.925,0
AO,6,Cuanza Sul,0,0,2
AO,7,Cunene,-16.316481,15.28353,0
AO,8,Huambo,-12.7677,15.738,0
AO,9,Huila,0,0,1
AO,20,Luanda,-8.8135,13.2319,0
AO,17,Lunda Norte,0,0,1
AO,18,Lunda Sul,-9.958333,20.389265,0
AO,12,Malanje,0,0,1
AO,14,Moxico,-11.85,20.033333,0
AO,15,Uige,-7.602778,15.02775,0
AO,16,Zaire,0,0,1
AR,1,Buenos Aires,0,0,205
AR,2,Catamarca,0,0,1
AR,3,Chaco,0,0,1
AR,4,Chubut,0,0,4
AR,5,Cordoba,0,0,32
AR,6,Corrientes,0,0,3
AR,7,Distrito Federal,0,0,19
AR,8,Entre Rios,0,0,8
AR,9,Formosa,0,0,1
AR,10,Jujuy,0,0,2
AR,11,La Pampa,0,0,4
AR,12,La Rioja,0,0,1
AR,13,Mendoza,0,0,5
AR,14,Misiones,0,0,3
AR,15,Neuquen,0,0,4
AR,16,Rio Negro,0,0,11
AR,17,Salta,0,0,2
AR,18,San Juan,0,0,3
AR,19,San Luis,0,0,3
AR,20,Santa Cruz,0,0,4
AR,21,Santa Fe,0,0,34
AR,22,Santiago del Estero,0,0,15
AR,23,Tierra del Fuego,0,0,2
AR,24,Tucuman,0,0,4
AT,1,Burgenland,0,0,211
AT,2,Karnten,0,0,486
AT,3,Niederosterreich,0,0,1218
AT,4,Oberosterreich,0,0,905
AT,5,Salzburg,0,0,351
AT,6,Steiermark,0,0,821
AT,7,Tirol,0,0,485
AT,8,Vorarlberg,0,0,113
AT,9,Wien,0,0,15
AU,1,Australian Capital Territory,0,0,9
AU,2,New South Wales,0,0,770
AU,3,Northern Territory,0,0,12
AU,4,Queensland,0,0,488
AU,5,South Australia,0,0,226
AU,6,Tasmania,0,0,127
AU,7,Victoria,0,0,657
AU,8,Western Australia,0,0,203
AZ,1,Abseron,0,0,1
AZ,2,Agcabadi,0,0,0
AZ,3,Agdam,39.9837,46.928612,0
AZ,4,Agdas,0,0,0
AZ,5,Agstafa,0,0,0
AZ,6,Agsu,0,0,0
AZ,7,Ali Bayramli,0,0,0
AZ,8,Astara,38.44,48.8752,0
AZ,9,Baki,0,0,4
AZ,10,Balakan,0,0,0
AZ,11,Barda,40.38316,47.118622,0
AZ,12,Beylaqan,0,0,1
AZ,13,Bilasuvar,0,0,0
AZ,14,Cabrayil,0,0,0
AZ,15,Calilabad,0,0,0
AZ,16,Daskasan,0,0,0
AZ,17,Davaci,0,0,0
AZ,18,Fuzuli,0,0,1
AZ,19,Gadabay,0,0,0
AZ,20,Ganca,0,0,0
AZ,21,Goranboy,0,0,1
AZ,22,Goycay,0,0,0
AZ,23,Haciqabul,0,0,0
AZ,24,Imisli,0,0,0
AZ,25,Ismayilli,0,0,1
AZ,26,Kalbacar,0,0,0
